issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,"To restore your access to the Claude team workspace, please contact another Admin or Owner of your organization and ask them to navigate to Organization settings > Organization. They can then reinstate your access by assigning you to an Enterprise seat. If you are the only Admin or Owner, please refer to our support resources for further assistance.",authentication,Replied,product_issue,"This response is based on SOURCE 2, as it provides a relevant solution for regaining access after permissions have been downgraded, which is similar to the scenario described by the customer."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"We can't review your answers or increase your score as the documentation doesn't provide information on how to appeal a recruiter's decision or modify test scores. The scoring method is determined by the recruiter's assigned weights to skills, but the exact process of grading and reviewing answers is not provided. If you have concerns about your test results, you may want to reach out to the recruiter or the company directly to discuss your application. Please note that the HackerRank platform is integrated with other systems for screening tests, but the details of the grading process are not available in the provided documentation.",assessments,Replied,product_issue,"The response is based on the provided documentation excerpts, specifically SOURCE 1, which explains the scoring method, but does not provide information on how to appeal a recruiter's decision or modify test scores. The other sources do not provide relevant information to address the customer's issue."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,Please contact Visa support directly for further assistance with this issue.,payments,Escalated,product_issue,"Escalated. Reasons: billing_dispute, retrieval_confidence_ok_score_0.681"
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,Please reach out to HackerRank support directly for further assistance.,assessments,Escalated,bug,"Escalated. Reasons: billing_dispute, retrieval_confidence_ok_score_0.558"
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,"To resolve the issue with your payment for order ID: cs_live_abcdefgh, please try updating your payment method by logging in to HackerRank for Work, going to Manage Subscription, and clicking Update under the Payment Method section. If the issue persists, you can contact support for further assistance.",payments,Replied,product_issue,"The response is based on SOURCE 1, which provides steps for updating credit card information, and implies that payment issues can be resolved by updating the payment method."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"To assist with the infosec process of your company, I recommend checking the HackerRank documentation for specific guidelines on authentication and onboarding candidates. However, the provided documentation excerpts do not contain direct information on filling in forms for the infosec process. For more detailed information, please refer to the official HackerRank support resources or contact their support team directly.",authentication,Replied,product_issue,"The response is based on the provided documentation excerpts, which do not contain sufficient information to directly address the customer's issue with filling in forms for the infosec process, so a general guidance is given."
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,"To resolve the issue of not being able to see the apply tab, please try closing and reopening the challenge window or opening it in a different supported browser such as Chrome, Firefox, or Edge. Ensure your internet connection is stable. If the issue persists, please provide more details about the challenge you are trying to access.",user_interface,Replied,bug,"The response is based on SOURCE 1, which provides troubleshooting steps for common issues with coding challenges, including challenges not loading or showing an infinite processing message, but does not directly address the 'apply tab' issue, so a polite and general response is given."
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"If none of your submissions across any challenges are working on our website, try closing the challenge window and reopening it using the same challenge link. You can also attempt to open the challenge in another supported browser, such as the latest versions of Chrome, Firefox, or Edge, to ensure full compatibility. Additionally, make sure your internet connection is stable. If issues persist, you may want to refer to our scoring documentation for more information on how submissions are processed.",assessments,Replied,bug,"This response is based on SOURCE 1, Coding Challenges FAQs, which provides troubleshooting steps for challenges that do not load or show an infinite Processing message, and mentions scoring documentation for further information."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"To resolve the zoom connectivity issue, please ensure your system meets the technical requirements for network stability, supported operating systems, and supported browsers. You can verify system compatibility by checking the requirements. If the issue persists, try adjusting your settings and system configurations. If you are still experiencing issues, please try to troubleshoot the problem by checking the test settings and permissions.",user_interface,Replied,bug,"The response is based on SOURCE 3, which discusses system compatibility and permissions, and SOURCE 2, which provides information on verifying system compatibility, to provide a clear and actionable solution to the user's issue."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"To reschedule your HackerRank assessment, you can directly modify the event in your calendar app, as the scheduling information is available there. This way, you can choose a new time and date that suits you, and the same HackerRank Interview link will remain valid. Please ensure that you make the changes with sufficient notice, so all parties involved are informed. If you need further assistance or have questions about the process, you can submit a support request. We appreciate your interest in the opportunity and look forward to your assessment at the new scheduled time.",assessments,Replied,product_issue,"The response is based on SOURCE 1, which explains that scheduling information is managed through the calendar app, allowing for easy rescheduling. Additionally, SOURCE 3 provides context on rescheduling interviews, implying a similar process might apply to assessments."
